Material ID,Composition,Band Gap,Calc Types
mp-1196083,K4 H8 Au4 C16 N16 O4,4.2733,"{'mp-1196083': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1355947': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1920029': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1202331,Mo4 P12 H108 C36 I8 O4,1.144199999999999,"{'mp-1202331': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1984225': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1105350,H6 C2 S2 N2 O2 F4,4.804600000000001,"{'mp-1105350': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1423443': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1709156': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1809526': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1584035': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2086686': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2599117': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1182270,Cs4 Hg2 C4 S2 I8 O2,1.3411,"{'mp-1182270': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1878168': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1182914,Al2 H28 C8 N2 O2 F8,0.043499999999999005,"{'mp-1182914': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1349463': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1680993': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1886327': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1198867,H40 Rh2 C6 N18 Cl12 O2,1.4438,"{'mp-1198867': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1850694': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1981714': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1200075,H26 Pt2 C6 N6 Cl4 O2,2.3108,"{'mp-1200075': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1928535': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1983619': <CalcType.GGA_Static: 'GGA Static'>}"
mp-556725,Cu2 H16 C4 Br6 N2 O2,0.1273,"{'mp-905086': <CalcType.GGA_Static: 'GGA Static'>, 'mp-918413': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-919417': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-556725': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1404056': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1752490': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1821771': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1619192': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2107330': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-557379,P8 H24 C16 N8 Cl8 O4,3.0089,"{'mp-680929': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-701142': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-665661': <CalcType.GGA_Static: 'GGA Static'>, 'mp-557379': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1350498': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1894581': <CalcType.GGA_Static: 'GGA Static'>}"
mp-560849,Fe2 H28 C8 N2 O2 F8,3.1505,"{'mp-600365': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-656037': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-659371': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-669088': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-566219': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-560849': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1326356': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1679628': <CalcType.GGA_U_NSCF_Uniform: 'GGA+U NSCF Uniform'>, 'mp-1814837': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-560249,Si2 H16 C4 N2 Cl2 O2,5.0286,"{'mp-659179': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-654835': <CalcType.GGA_Static: 'GGA Static'>, 'mp-560249': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-656012': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1157838': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1248225': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1249143': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1255410': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1424622': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1767856': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1842333': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1609676': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2173239': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2327181': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-572874,Al2 H28 C8 N2 O2 F8,5.1156,"{'mp-654883': <CalcType.GGA_Static: 'GGA Static'>, 'mp-659389': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-656205': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-572874': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1182895': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1257570': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1261488': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1262137': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1372758': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1891936': <CalcType.GGA_Static: 'GGA Static'>}"
